,Name,Rating,Price,Type,Address,Hours,Website,Phone,PlusCode,Descript,G_MAP_URL,Latitude,Longitude,geometry,Psuedo_Z,Convenience,Customer Service and Checkout Process,Employees,Food Departments and Quality,Food Selection and Variety,Price and General Experience,LGBTQ_Friendly,Family_Friendly,Shop_Online,Shop_Store,Delivery,Pickup_Curbside,Pickup_Store,Drive_Thru,Delivery_No_Contact,Delivery_Same_Day,Disinfect_Surfaces,Safety_Dividers_Checkout,Masks_Required,Masks_Staff,Staff_Temperature_Check,Great_Service,Wheelchair_Accessible,Quick_Visit,Organic_Food,Prepared_Food,Pay_Checks,Pay_Debit_Cards,Pay_NFC_Mobile,Pay_SNAP_EBT,Pay_Credit_Cards,Restroom,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close
46,The Fresh Market,4.6,$$$,Grocery store,"4475 Kingston Pike, Knoxville, TN 37919","{'Tuesday': ['8AM', '9PM'], 'Wednesday': ['8AM', '9PM'], 'Thursday': ['8AM', '9PM'], 'Friday': ['8AM', '9PM'], 'Saturday': ['8AM', '9PM'], 'Sunday': ['8AM', '9PM'], 'Monday': ['8AM', '9PM']}",Website: thefreshmarket.com ,(865) 584-8699,"W2RC+MJ Knoxville, Tenn","Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.","https://www.google.com/maps/place/The+Fresh+Market/@35.9417063,-83.980682,17z/data=!3m2!4b1!5s0x885c3cd441e3ce0d:0xb825fcecc7a1da30!4m5!3m4!1s0x885c3cd4f651ed43:0x6f2feeacde6061fd!8m2!3d35.941702!4d-83.978488",35.9417063,-83.980682,POINT (-83.980682 35.9417063),2022-03-10 23:59:59,3.296875,3.781944444444445,3.583333333333333,3.684027777777778,3.0236111111111112,3.6330357142857137,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 08:00:00,2022-03-08 21:00:00,2022-03-09 08:00:00,2022-03-09 21:00:00,2022-03-10 08:00:00,2022-03-10 21:00:00,2022-03-11 08:00:00,2022-03-11 21:00:00,2022-03-12 08:00:00,2022-03-12 21:00:00,2022-03-13 08:00:00,2022-03-13 21:00:00,2022-03-14 08:00:00,2022-03-14 21:00:00
47,Oriental Super Mart,4.5,,Grocery store,"3800 Sutherland Ave, Knoxville, TN 37919","{'Tuesday': ['10AM', '7PM'], 'Wednesday': ['10AM', '7PM'], 'Thursday': ['10AM', '7PM'], 'Friday': ['10AM', '7PM'], 'Saturday': ['10AM', '7PM'], 'Sunday': ['12', '6PM'], 'Monday': ['10AM', '7PM']}",,(865) 588-9411,"W2W9+25 Knoxville, Tenn",,"https://www.google.com/maps/place/Oriental+Super+Mart/@35.9450256,-83.9842964,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3cd176436323:0xb30d1e038379e639!8m2!3d35.9450213!4d-83.9821024",35.9450256,-83.9842964,POINT (-83.98429640000001 35.9450256),2022-03-10 23:59:59,,4.084375,3.453125,3.1400842126623374,3.1767578125,4.05078125,Yes,,False,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,Yes,,2022-03-08 10:00:00,2022-03-08 19:00:00,2022-03-09 10:00:00,2022-03-09 19:00:00,2022-03-10 10:00:00,2022-03-10 19:00:00,2022-03-11 10:00:00,2022-03-11 19:00:00,2022-03-12 10:00:00,2022-03-12 19:00:00,2022-03-13 12:00:00,2022-03-13 18:00:00,2022-03-14 10:00:00,2022-03-14 19:00:00
48,Food City,4.3,$$,Grocery store,"6710 Malone Creek Drive, Knoxville, TN 37931","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 584-1049,"XXP3+G5 Knoxville, Tenn",,"https://www.google.com/maps/place/Food+City/@35.9863787,-84.0492477,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3c81d3c51d97:0xc1df9ca76a0e6dd0!8m2!3d35.9863744!4d-84.0470537",35.9863787,-84.0492477,POINT (-84.0492477 35.9863787),2022-03-10 23:59:59,3.5205026455026456,3.495,3.680429292929293,3.5478219696969697,3.289930555555556,4.125,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
49,Walmart Neighborhood Market,4.3,$,Supermarket,"3120 McKamey Rd, Knoxville, TN 37921","{'Tuesday': ['6AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: walmart.com ,(865) 340-4509,"XXGQ+HH Knoxville, Tenn",,"https://www.google.com/maps/place/Walmart+Neighborhood+Market/@35.976491,-84.0133179,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3c83f1449de9:0x2d3488534828daee!8m2!3d35.9765272!4d-84.0111992",35.976491,-84.0133179,POINT (-84.0133179 35.976491),2022-03-10 23:59:59,3.4384920634920637,3.21875,3.515625,,,3.75,,,True,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,Yes,,,2022-03-08 06:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
50,Green Grocery,4.1,,Grocery store,"1101 Maryville Pike, Knoxville, TN 37920","{'Tuesday': ['8AM', '10PM'], 'Wednesday': ['8AM', '10PM'], 'Thursday': ['8AM', '10PM'], 'Friday': ['8AM', '10PM'], 'Saturday': ['9AM', '10PM'], 'Sunday': ['10AM', '10PM'], 'Monday': ['8AM', '10PM']}",,(865) 573-5757,"W3GG+QX Knoxville, Tenn",,"https://www.google.com/maps/place/Green+Grocery/@35.9269834,-83.9248167,17z/data=!3m1!4b1!4m5!3m4!1s0x885c180522e42d29:0x68d51b72ba1e9b53!8m2!3d35.9269791!4d-83.9226227",35.9269834,-83.9248167,POINT (-83.92481669999999 35.9269834),2022-03-10 23:59:59,3.75,,3.533333333333333,,3.4375,3.888888888888888,,,False,Yes,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,2022-03-08 08:00:00,2022-03-08 22:00:00,2022-03-09 08:00:00,2022-03-09 22:00:00,2022-03-10 08:00:00,2022-03-10 22:00:00,2022-03-11 08:00:00,2022-03-11 22:00:00,2022-03-12 09:00:00,2022-03-12 22:00:00,2022-03-13 10:00:00,2022-03-13 22:00:00,2022-03-14 08:00:00,2022-03-14 22:00:00
51,Publix Super Market at University Commons,4.6,$$,Supermarket,"2429 University Commons Way, Knoxville, TN 37919","{'Tuesday': ['7AM', '10PM'], 'Wednesday': ['7AM', '10PM'], 'Thursday': ['7AM', '10PM'], 'Friday': ['7AM', '10PM'], 'Saturday': ['7AM', '10PM'], 'Sunday': ['7AM', '10PM'], 'Monday': ['7AM', '10PM']}",Website: publix.com ,(865) 522-6313,"W3X6+X4 Knoxville, Tenn","Supermarket chain with a wide selection of groceries, plus deli & bakery departments.","https://www.google.com/maps/place/Publix+Super+Market+at+University+Commons/@35.9499261,-83.9418451,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3d5b758e4f21:0x72cc109ff511107!8m2!3d35.9499218!4d-83.9396511",35.9499261,-83.9418451,POINT (-83.94184509999999 35.9499261),2022-03-10 23:59:59,3.6666666666666665,3.5441666666666665,3.691666666666667,3.416666666666667,3.57522095959596,3.382954915364583,Yes,,True,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 22:00:00,2022-03-09 07:00:00,2022-03-09 22:00:00,2022-03-10 07:00:00,2022-03-10 22:00:00,2022-03-11 07:00:00,2022-03-11 22:00:00,2022-03-12 07:00:00,2022-03-12 22:00:00,2022-03-13 07:00:00,2022-03-13 22:00:00,2022-03-14 07:00:00,2022-03-14 22:00:00
52,Food City,4.4,$$,Grocery store,"7350 Clinton Hwy, Powell, TN 37849","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 938-1132,"2X93+55 Powell, Tenn",,"https://www.google.com/maps/place/Food+City/@36.0178854,-84.0492916,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3a27e99e41af:0xadcff3b9db52294e!8m2!3d36.0177511!4d-84.0473004",36.0178854,-84.0492916,POINT (-84.0492916 36.0178854),2022-03-10 23:59:59,3.625,3.5347222222222223,3.729166666666667,3.4250000000000003,3.5282552083333334,3.6180555555555554,,,True,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
53,Kroger Express at Walgreens,4.7,,Grocery store,"9200 Middlebrook Pike, Knoxville, TN 37931","{'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Friday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Monday': ['Open 24 hours']}",Website: walgreens.com ,(865) 531-0033,"WWR3+MR Knoxville, Tenn",,"https://www.google.com/maps/place/Kroger+Express+at+Walgreens/@35.9416923,-84.097662,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2563593c04b5:0xb258712c7d620323!8m2!3d35.9416814!4d-84.095251",35.9416923,-84.097662,POINT (-84.097662 35.9416923),2022-03-10 23:59:59,4.5546875,4.0,3.3408333333333333,,3.1258585858585857,,,,True,Yes,,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,2022-03-08 00:00:00,2261-12-31 00:00:00,2022-03-09 00:00:00,2261-12-31 00:00:00,2022-03-10 00:00:00,2261-12-31 00:00:00,2022-03-11 00:00:00,2261-12-31 00:00:00,2022-03-12 00:00:00,2261-12-31 00:00:00,2022-03-13 00:00:00,2261-12-31 00:00:00,2022-03-14 00:00:00,2261-12-31 00:00:00
54,Food City,4.1,$$,Grocery store,"1950 Western Ave, Knoxville, TN 37921","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['7AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: foodcity.com ,(865) 525-6350,"X384+GG Knoxville, Tenn",,"https://www.google.com/maps/place/Food+City/@35.9663275,-83.9458564,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3d6f65830261:0xc544804b9b29e1d6!8m2!3d35.9663137!4d-83.9434813",35.9663275,-83.9458564,POINT (-83.9458564 35.9663275),2022-03-10 23:59:59,3.588541666666667,3.214285714285714,3.4375,,3.020833333333333,4.125,,,True,Yes,Yes,,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 07:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
55,Kroger,3.8,$$,Grocery store,"4409 Chapman Hwy, Knoxville, TN 37920","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['7AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: kroger.com ,(865) 577-3977,"W3MV+39 Knoxville, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger/@35.9326821,-83.9087539,17z/data=!3m1!4b1!4m5!3m4!1s0x885c182749394547:0xc7908f8953d6b0c5!8m2!3d35.9326778!4d-83.9065599",35.9326821,-83.9087539,POINT (-83.90875389999999 35.9326821),2022-03-10 23:59:59,,3.25,3.35,,,3.4791666666666665,,,True,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 07:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
56,Kroger,4.3,$$,Grocery store,"6702 Clinton Hwy, Knoxville, TN 37912","{'Tuesday': ['8AM', '10PM'], 'Wednesday': ['8AM', '10PM'], 'Thursday': ['8AM', '10PM'], 'Friday': ['8AM', '10PM'], 'Saturday': ['8AM', '10PM'], 'Sunday': ['8AM', '10PM'], 'Monday': ['8AM', '10PM']}",Website: kroger.com ,(865) 947-3283,"2X5G+FG Knoxville, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger/@36.0087492,-84.0258443,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3bf3a02efb4d:0x509b7dc995ad16e5!8m2!3d36.0087449!4d-84.0236503",36.0087492,-84.0258443,POINT (-84.0258443 36.0087492),2022-03-10 23:59:59,3.6284722222222223,3.422619047619048,3.5635416666666666,,3.125,3.75,,,True,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 08:00:00,2022-03-08 22:00:00,2022-03-09 08:00:00,2022-03-09 22:00:00,2022-03-10 08:00:00,2022-03-10 22:00:00,2022-03-11 08:00:00,2022-03-11 22:00:00,2022-03-12 08:00:00,2022-03-12 22:00:00,2022-03-13 08:00:00,2022-03-13 22:00:00,2022-03-14 08:00:00,2022-03-14 22:00:00
57,Kroger Express at Walgreens,4.4,,Grocery store,"121 N Northshore Dr, Knoxville, TN 37919","{'Tuesday': ['8AM', '10PM'], 'Wednesday': ['8AM', '10PM'], 'Thursday': ['8AM', '10PM'], 'Friday': ['8AM', '10PM'], 'Saturday': ['8AM', '10PM'], 'Sunday': ['8AM', '10PM'], 'Monday': ['8AM', '10PM']}",Website: walgreens.com ,(865) 588-6755,"WXMW+FM Knoxville, Tenn",,"https://www.google.com/maps/place/Kroger+Express+at+Walgreens/@35.9337103,-84.005445,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2323247321af:0xed59fab2bca7e713!8m2!3d35.9337522!4d-84.0030465",35.9337103,-84.005445,POINT (-84.00544499999999 35.9337103),2022-03-10 23:59:59,,,,,,,,,True,Yes,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,2022-03-08 08:00:00,2022-03-08 22:00:00,2022-03-09 08:00:00,2022-03-09 22:00:00,2022-03-10 08:00:00,2022-03-10 22:00:00,2022-03-11 08:00:00,2022-03-11 22:00:00,2022-03-12 08:00:00,2022-03-12 22:00:00,2022-03-13 08:00:00,2022-03-13 22:00:00,2022-03-14 08:00:00,2022-03-14 22:00:00
58,Mi Pueblo,4.1,$$,Supermarket,"1645 Downtown W Blvd UNIT 17, Knoxville, TN 37919","{'Tuesday': ['9AM', '10PM'], 'Wednesday': ['9AM', '10PM'], 'Thursday': ['9AM', '10PM'], 'Friday': ['9AM', '10PM'], 'Saturday': ['9AM', '10PM'], 'Sunday': ['9AM', '10PM'], 'Monday': ['9AM', '10PM']}",,(865) 560-0411,"WWCW+WX Knoxville, Tenn","Supermarket with Latin roots stocking meat, seafood, produce & more, plus a cremería & tortillería.","https://www.google.com/maps/place/Mi+Pueblo/@35.9223295,-84.0547352,17z/data=!3m1!4b1!4m5!3m4!1s0x885c24dd0b56a12f:0xac2e6ac098d846c2!8m2!3d35.9223226!4d-84.0524763",35.9223295,-84.0547352,POINT (-84.0547352 35.9223295),2022-03-10 23:59:59,3.4375,3.505,3.421875,3.4027777777777777,3.0451388888888884,3.520833333333333,,,True,Yes,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,,Yes,,,2022-03-08 09:00:00,2022-03-08 22:00:00,2022-03-09 09:00:00,2022-03-09 22:00:00,2022-03-10 09:00:00,2022-03-10 22:00:00,2022-03-11 09:00:00,2022-03-11 22:00:00,2022-03-12 09:00:00,2022-03-12 22:00:00,2022-03-13 09:00:00,2022-03-13 22:00:00,2022-03-14 09:00:00,2022-03-14 22:00:00
59,United Grocery Outlet,4.4,,Grocery store,"4225 Chapman Hwy, Knoxville, TN 37920","{'Tuesday': ['8AM', '9PM'], 'Wednesday': ['8AM', '9PM'], 'Thursday': ['8AM', '9PM'], 'Friday': ['8AM', '9PM'], 'Saturday': ['8AM', '9PM'], 'Sunday': ['8AM', '7PM'], 'Monday': ['8AM', '9PM']}",Website: myugo.com ,(865) 573-8000,"W3MV+W7 Knoxville, Tenn",,"https://www.google.com/maps/place/United+Grocery+Outlet/@35.9347785,-83.9090118,17z/data=!3m1!4b1!4m5!3m4!1s0x885c18209f4111ff:0x460e9444aaaba23a!8m2!3d35.9348256!4d-83.906729",35.9347785,-83.9090118,POINT (-83.9090118 35.9347785),2022-03-10 23:59:59,3.75,3.591666666666667,3.9630681818181817,3.099479166666667,3.3604166666666666,3.917613636363636,,,False,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,2022-03-08 08:00:00,2022-03-08 21:00:00,2022-03-09 08:00:00,2022-03-09 21:00:00,2022-03-10 08:00:00,2022-03-10 21:00:00,2022-03-11 08:00:00,2022-03-11 21:00:00,2022-03-12 08:00:00,2022-03-12 21:00:00,2022-03-13 08:00:00,2022-03-13 19:00:00,2022-03-14 08:00:00,2022-03-14 21:00:00
60,Maryville Corner Market,4.7,$$,Lunch restaurant,"800 Montvale Rd, Maryville, TN 37803","{'Tuesday': ['10AM', '8PM'], 'Wednesday': ['10AM', '6PM'], 'Thursday': ['10AM', '8PM'], 'Friday': ['10AM', '8PM'], 'Saturday': ['10AM', '3PM'], 'Sunday': ['Closed'], 'Monday': ['10AM', '6PM']}",,(865) 980-8509,"2WJ+Q3 Maryville, Tenn",,"https://www.google.com/maps/place/Maryville+Corner+Market/@35.7469615,-83.9720325,17z/data=!3m1!4b1!4m5!3m4!1s0x885e9fcbe946fd65:0x549b35663808d26!8m2!3d35.7469572!4d-83.9698385",35.7469615,-83.9720325,POINT (-83.9720325 35.7469615),2022-03-10 23:59:59,3.4609375,3.375,3.541170634920635,3.728819444444445,3.84375,3.404947916666667,,Yes,False,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,2022-03-08 10:00:00,2022-03-08 20:00:00,2022-03-09 10:00:00,2022-03-09 18:00:00,2022-03-10 10:00:00,2022-03-10 20:00:00,2022-03-11 10:00:00,2022-03-11 20:00:00,2022-03-12 10:00:00,2022-03-12 15:00:00,2022-03-13 00:00:00,2261-12-31 00:00:00,2022-03-14 10:00:00,2022-03-14 18:00:00
61,Food City,4.3,$$,Grocery store,"1199 Oak Ridge Turnpike, Oak Ridge, TN 37830","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 483-2881,"2Q82+QV Oak Ridge, Tenn",,"https://www.google.com/maps/place/Food+City/@36.0170029,-84.2500354,17z/data=!3m1!4b1!4m5!3m4!1s0x885c33401afac1c9:0xd65c6d697e809c6b!8m2!3d36.0169986!4d-84.2478414",36.0170029,-84.2500354,POINT (-84.2500354 36.0170029),2022-03-10 23:59:59,3.5056818181818183,3.691666666666667,3.59375,3.489583333333333,3.1666666666666665,3.75,,,True,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
62,ALDI,4.6,$,Supermarket,"111 Woodland Terrace E, Oak Ridge, TN 37830","{'Tuesday': ['8:30AM', '8PM'], 'Wednesday': ['9AM', '8PM'], 'Thursday': ['8:30AM', '8PM'], 'Friday': ['9AM', '8PM'], 'Saturday': ['9AM', '8PM'], 'Sunday': ['9AM', '8PM'], 'Monday': ['9AM', '8PM']}",Website: aldi.us ,(855) 955-2534,"2Q33+M3 Oak Ridge, Tenn","Retail chain selling a range of grocery items, meat & dairy.","https://www.google.com/maps/place/ALDI/@36.0041442,-84.2495517,17z/data=!3m1!4b1!4m5!3m4!1s0x885c33185911d05d:0xb8e24503c8d9eae0!8m2!3d36.0041399!4d-84.2473577",36.0041442,-84.2495517,POINT (-84.2495517 36.0041442),2022-03-10 23:59:59,3.734375,3.448074494949495,3.925,3.53125,3.6354166666666665,4.115625,,,True,Yes,Yes,,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,2022-03-08 08:30:00,2022-03-08 20:00:00,2022-03-09 09:00:00,2022-03-09 20:00:00,2022-03-10 08:30:00,2022-03-10 20:00:00,2022-03-11 09:00:00,2022-03-11 20:00:00,2022-03-12 09:00:00,2022-03-12 20:00:00,2022-03-13 09:00:00,2022-03-13 20:00:00,2022-03-14 09:00:00,2022-03-14 20:00:00
63,Food City,4.2,$$,Grocery store,"5078 Clinton Hwy, Knoxville, TN 37912","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['7AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: foodcity.com ,(865) 689-9442,"223F+WV Knoxville, Tenn",,"https://www.google.com/maps/place/Food+City/@36.004834,-83.9774947,17z/data=!3m2!4b1!5s0x885c3c3543e8c839:0x5e0646767afc1a2a!4m5!3m4!1s0x885c3c355d8e19eb:0x64cd901b7b9aa098!8m2!3d36.0048297!4d-83.9753007",36.004834,-83.9774947,POINT (-83.97749469999999 36.004834),2022-03-10 23:59:59,3.59375,3.4375,3.625,,3.2,3.75,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 07:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
64,Kroger Express at Walgreens,4.5,,Grocery store,"4001 Chapman Hwy, Knoxville, TN 37920","{'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Friday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Monday': ['Open 24 hours']}",Website: walgreens.com ,(865) 573-0081,"W3PR+VH Knoxville, Tenn",,"https://www.google.com/maps/place/Kroger+Express+at+Walgreens/@35.9371693,-83.910717,17z/data=!3m1!4b1!4m5!3m4!1s0x885c1738a9c5d3a9:0x7d17db28815717d!8m2!3d35.9372485!4d-83.908382",35.9371693,-83.910717,POINT (-83.91071700000001 35.9371693),2022-03-10 23:59:59,,,3.6674242424242425,,4.6000000000000005,,,,True,Yes,,Yes,Yes,,,,,Yes,,,,,Yes,Yes,,,,,,,,,2022-03-08 00:00:00,2261-12-31 00:00:00,2022-03-09 00:00:00,2261-12-31 00:00:00,2022-03-10 00:00:00,2261-12-31 00:00:00,2022-03-11 00:00:00,2261-12-31 00:00:00,2022-03-12 00:00:00,2261-12-31 00:00:00,2022-03-13 00:00:00,2261-12-31 00:00:00,2022-03-14 00:00:00,2261-12-31 00:00:00
65,Food City,4.3,$$,Grocery store,"7608 Mountain Grove Dr, Knoxville, TN 37920","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 573-5003,"W536+GW Knoxville, Tenn",,"https://www.google.com/maps/place/Food+City/@35.9038261,-83.8398945,17z/data=!3m1!4b1!4m5!3m4!1s0x885c1a2336666fcd:0xdff28c051274ff22!8m2!3d35.9039868!4d-83.837801",35.9038261,-83.8398945,POINT (-83.8398945 35.9038261),2022-03-10 23:59:59,3.3229166666666665,3.416666666666667,3.701388888888889,3.291666666666667,3.305555555555556,4.0,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
